name,night_mjd,n_exposures,mjd_start,mjd_last,mjd_end,filters,date_utc,duration_start_to_start_h,duration_start_to_end_h
cid_1605,57715,28,57715.51913213,57715.64779635,57715.65126857222,"y,z",2016-11-23,3.0879412799840793,3.1712746132398024
cid_1605,57745,17,57745.46352326,57745.64726794,57745.65074016222,z,2016-12-23,4.409872320131399,4.493205653387122
cid_1605,57755,25,57755.42842293,57755.62697091,57755.63044313222,"g,i2,z",2017-01-02,4.76515151996864,4.848484853224363
cid_1605,57776,18,57776.35023231,57776.59772333,57776.60119555222,"i2,r2",2017-01-23,5.9397844800841995,6.023117813339923
cid_1605,57783,33,57783.39695087,57783.60382735,57783.606952350005,"i2,z",2017-01-30,4.965035519970115,5.0400355200399645
cid_1605,57787,18,57787.38069662,57787.59872519,57787.60219741222,y,2017-02-03,5.232685680035502,5.316019013291225
cid_1605,57807,14,57807.32375599,57807.50599385,57807.50807718333,"g,r2",2017-02-23,4.373708639934193,4.423708639922552
cid_1605,57809,13,57809.26863063,57809.4444633,57809.447588300005,i2,2017-02-25,4.2199840800021775,4.294984080072027
cid_1605,57816,28,57816.25835961,57816.508738,57816.512210222216,"i2,z",2017-03-04,6.009081359894481,6.092414693150204
cid_1605,57819,16,57819.39389176,57819.53157584,57819.53504806222,y,2017-03-07,3.304417920007836,3.387751253263559
cid_1605,57834,24,57834.27387879,57834.48116411,57834.484289110005,"g,z",2017-03-22,4.974847680015955,5.049847680085804
cid_1605,57841,18,57841.26791919,57841.42763926,57841.43111148222,"g,z",2017-03-29,3.8332816799520515,3.9166150132077746
cid_1605,57842,24,57842.24976169,57842.37202824,57842.37550046222,"i2,y",2017-03-30,2.934397200064268,3.017730533319991
cid_1605,57866,17,57866.24076716,57866.3822219,57866.38569412222,"r2,z",2017-04-23,3.3949137599556707,3.478247093211394
cid_1605,58161,11,58161.29923082,58161.41950248,58161.42991914666,N1010,2018-02-12,2.8865198400453664,3.1365198399871588
cid_1605,58162,13,58162.29133877,58162.42372641,58162.434143076665,N1010,2018-02-13,3.177303359960206,3.427303359901998
cid_1605,58488,17,58488.40365477,58488.65338457,58488.66380123667,N1010,2019-01-05,5.9935152000398375,6.24351519998163
cid_1605,58612,22,58612.23635759,58612.38425353,58612.38772575222,i2,2019-05-09,3.5495025599375367,3.63283589319326
cid_2550,56743,33,56743.292179517,56743.4162245691,56743.41900234688,i,2014-03-27,2.977081250399351,3.0437479171087034
cid_2550,56744,34,56744.2640005946,56744.5061037191,56744.5092287191,"i,r,z",2014-03-28,5.810474987898488,5.885474987968337
cid_2550,57038,23,57038.5296832784,57038.6605653227,57038.663690322704,z,2015-01-16,3.14116906322306,3.2161690632929094
cid_2550,57040,37,57040.3625245108,57040.5454916195,57040.54965828617,y,2015-01-18,4.3912106088828295,4.4912106088595465
cid_2550,57097,15,57097.2391047985,57097.4297287292,57097.4328537292,"N921,z",2015-03-16,4.574974336777814,4.649974336847663
cid_2550,57099,17,57099.2248146622,57099.4468417792,57099.448925112534,"N921,r",2015-03-18,5.328650808020029,5.378650808008388
cid_2550,57101,12,57101.2274189992,57101.3817703417,57101.384895341704,"N921,i",2015-03-20,3.7044322199653834,3.7794322200352326
cid_2550,57427,24,57427.3115773117,57427.5655354643,57427.57595213097,"N816,i2",2016-02-09,6.094995662395377,6.344995662337169
cid_2550,57489,11,57489.2291235193,57489.3913163249,57489.401732991566,N921,2016-04-11,3.892627334513236,4.142627334455028
cid_2550,57715,28,57715.51913213,57715.64779635,57715.65126857222,"y,z",2016-11-23,3.0879412799840793,3.1712746132398024
cid_2550,57745,17,57745.46352326,57745.64726794,57745.65074016222,z,2016-12-23,4.409872320131399,4.493205653387122
cid_2550,57755,25,57755.42842293,57755.62697091,57755.63044313222,"g,i2,z",2017-01-02,4.76515151996864,4.848484853224363
